Word;POS;Polarity;#+;#-;#0;#iteration
padecente;adj,nom;-;0;1;0;5;
penado;adj;-;0;2;0;4;
arrastar;vrb;-;0;1;0;1;
comovido;adj;-;0;4;0;3;
tocado;adj;-;0;2;0;3;
encaminhar;vrb;0;1;0;3;3;
enveredar;vrb;0;0;0;1;4;
secundário;adj,nom;-;1;3;0;4;
subalterno;adj,nom;-;1;2;0;4;
comprimido;adj,nom;-;1;2;0;4;
atochado;adj;A;1;1;0;5;
atucanar;vrb;+;2;1;0;3;
gazear;vrb;0;0;0;1;4;
vértice;nom;+;4;0;0;4;
bifurcação;nom;A;1;0;1;4;
proclamar;vrb;+;4;0;0;2;
indigno;adj;-;0;7;0;4;
desonroso;adj;-;0;2;0;4;
estenderete;nom;-;0;2;0;2;
espetanço;nom;-;0;1;0;1;
abarcar;vrb;+;3;0;0;2;
friso;nom;+;4;0;0;5;
beberricador;nom;-;0;1;0;5;
decilitreiro;nom;-;0;1;0;4;
fraternal;adj;+;3;0;0;4;
pátria;nom;+;4;0;0;4;
nacionalidade;nom;+;3;0;0;4;
clausura;nom;+;2;1;0;4;
aperreação;nom;-;0;2;0;4;
viçoso;adj;+;4;0;0;3;
erário;nom;-;0;1;0;5;
côa;nom;A;1;1;0;5;
picadeiro;nom;+;1;0;0;4;
trigário;nom;+;1;0;0;5;
exil;adj;-;0;1;0;4;
exile;adj;-;0;2;0;3;
alcandorado;adj;-;0;1;0;4;
tapume;nom;+;6;1;0;5;
tapigo;nom;+;2;0;0;6;
peneireiro;nom;-;0;1;0;5;
joeireiro;nom;-;0;1;0;6;
calcar;vrb;-;0;2;0;1;
assopear;vrb;-;0;2;0;2;
contíguo;adj;+;1;0;0;4;
magnificente;adj;+;5;0;0;3;
opíparo;adj;+;2;0;0;3;
rectilíneo;adj;+;2;0;0;3;
limite;nom;+;3;1;0;3;
linda;nom;+;2;0;1;3;
portento;nom;-;0;1;0;5;
pretexto;nom;+;4;3;0;3;
sobreviver;vrb;0;0;0;1;4;
sobrerrestar;vrb;0;0;0;1;5;
resistente;adj;+;4;0;0;3;
mataco;nom;+;1;0;0;5;
galhardia;nom;+;6;1;0;3;
muito;adv;0;0;0;1;0;
ladino;nom,adj;A;2;2;0;3;
fartar;vrb;+;2;0;0;3;
inundar;vrb;+;3;1;2;3;
estiraçar;vrb;+;2;0;0;4;
simpatizar;vrb;+;1;0;0;3;
faculdade;nom;+;3;0;0;2;
origem;nom;+;5;0;4;3;
proveniência;nom;0;1;0;2;3;
desenraizar;vrb;+;2;0;0;4;
desraizar;vrb;+;1;0;0;3;
toucado;nom,adj;+;2;0;0;4;
penteado;nom;+;1;0;0;5;
apoucamento;nom;+;2;1;0;4;
individual;adj;+;3;0;0;3;
estéril;adj;-;0;3;0;3;
chocho;adj,nom;-;0;7;0;4;
dobrado;adj;-;0;1;0;2;
dublado;adj;-;0;1;0;3;
parado;adj;+;7;0;0;4;
estancado;adj;+;2;0;0;4;
terrorista;nom;-;0;1;0;4;
bombista;nom;-;0;1;0;5;
fingido;adj,nom;+;3;1;0;3;
esmagar;vrb;-;0;4;0;2;
enclausurar;vrb;+;2;0;1;4;
disseminação;nom;0;0;0;2;2;
clarificado;adj;+;1;0;0;5;
instabilizar;vrb;-;0;1;0;5;
papeleta;nom;+;1;0;0;4;
intriga;nom;-;1;3;0;2;
restos;nom;-;1;2;1;3;
despojo;nom;-;0;1;0;4;
íngreme;adj;-;0;5;0;3;
torto;adj,adv,nom;-;0;3;0;2;
caroca;nom;A;1;1;0;3;
soporífero;adj,nom;-;0;2;0;3;
malhoada;nom;+;4;0;0;3;
indisputável;adj;+;1;0;0;4;
abrir;vrb;+;8;0;1;3;
resolver;vrb;0;3;0;5;3;
acordar;vrb;0;1;0;4;3;
pastoril;adj;-;1;2;0;4;
pegural;adj;-;0;1;0;5;
desarranjo;nom;-;0;6;0;3;
desconcerto;nom;-;0;3;0;3;
expedito;adj;A;0;1;1;2;
modesto;adj;+;8;2;0;3;
reportado;adj;+;3;1;0;3;
convocação;nom;+;1;0;0;4;
apelo;nom;+;3;0;0;5;
rasoira;nom;-;0;2;0;5;
rasa;nom;-;0;2;0;4;
fricção;nom;-;0;5;0;5;
esfregamento;nom;-;0;1;0;5;
espesso;adj;A;1;0;1;2;
bazófia;nom;-;1;4;0;3;
gabarrice;nom;-;0;3;0;3;
familiaridade;nom;+;3;0;0;4;
lastimar-se;vrb;+;3;1;0;4;
gaiar;vrb;+;2;0;0;5;
patentear;vrb;+;3;0;2;2;
descerrar;vrb;+;1;0;0;3;
xeretar;vrb;A;1;1;0;4;
imprimir-se;vrb;+;1;0;0;4;
sedar;vrb;-;0;1;0;4;
original;adj,nom;+;3;0;0;3;
anticonformista;adj;+;2;0;0;4;
censurar;vrb;+;4;0;0;2;
lampejante;adj;+;1;0;0;5;
assovinar;vrb;+;2;0;0;3;
fome;nom;-;0;2;0;3;
lazeira;nom;-;1;2;0;4;
imundo;adj;-;0;8;0;3;
latrinário;adj;-;0;3;0;4;
oneroso;adj;-;0;1;0;2;
gravoso;adj;-;0;1;0;3;
dúvida;nom;-;0;2;0;3;
oculto;adj;+;4;1;0;3;
oclusivo;adj;A;1;1;0;4;
adivinho;nom;+;1;0;0;5;
agoureiro;nom;+;1;0;0;6;
cortejo;nom;A;1;0;1;2;
marcha;nom;0;0;0;2;1;
discriminação;nom;+;2;0;0;3;
especificação;nom;+;1;0;0;4;
rebuscar;vrb;+;3;0;0;4;
aumentado;adj;+;3;0;0;4;
dilatado;adj;+;2;0;1;4;
preferido;adj;+;4;0;0;5;
predilecto;adj,nom;+;1;0;0;5;
desenrascar-se;vrb;+;1;0;0;6;
desencalacrar;vrb;+;2;0;0;5;
devorador;adj,nom;-;0;2;0;4;
mister;nom;+;4;0;0;3;
enrascadela;nom;-;0;1;0;4;
enroscadela;nom;-;0;2;0;4;
jubilar;vrb;+;2;0;0;5;
instável;adj;-;0;3;0;3;
movediço;adj;-;0;1;0;3;
valoroso;adj;+;5;0;0;3;
vazante;nom,adj;+;2;0;0;4;
receio;nom;-;1;3;0;3;
lixo;nom;A;1;1;0;4;
carícias;nom;+;1;0;0;4;
ilécebras;nom;+;2;0;0;5;
objectivação;nom;+;1;0;0;5;
dinheiro;nom;+;4;1;0;3;
fanfa;nom;+;1;0;0;4;
supra-sumo;nom;+;2;0;0;4;
guiar;vrb;0;0;0;5;3;
ajustado;adj,nom;+;6;0;0;3;
falado;adj;+;4;0;0;4;
incubar;vrb;+;2;0;1;3;
peia;nom;-;0;3;0;3;
situado;adj;+;1;0;0;5;
mexida;nom;-;0;5;0;3;
começo;nom;+;7;1;0;3;
preliminar;nom,adj;+;3;0;0;4;
porquidade;nom;-;0;2;0;4;
inimizade;nom;-;0;4;0;4;
desavença;nom;-;1;5;0;3;
indivisível;adj;+;1;0;0;5;
uno;adj;+;2;0;0;4;
picar;vrb;+;4;0;1;2;
picotar;vrb;+;1;0;0;3;
supostamente;adv;0;0;0;1;11;
hipoteticamente;adv;0;0;0;1;12;
categoricamente;adv;+;1;0;0;5;
terminantemente;adv;+;1;0;0;6;
lambaz;nom;-;0;3;0;5;
lambe-pratos;nom;-;0;3;0;5;
encaracolar;vrb;-;0;1;0;3;
notificar;vrb;0;0;0;2;2;
noticiar;vrb;+;2;0;1;3;
representar;vrb;0;0;0;1;1;
dinamismo;nom;A;0;1;1;3;
pedalada;nom;-;0;1;0;4;
mesentério;nom;-;0;2;0;6;
centafolho;nom;-;0;1;0;5;
impreciso;adj;-;2;6;0;4;
neutro;adj;+;3;2;0;4;
gema;nom;+;4;1;0;4;
bate-papo;nom;-;0;1;0;4;
alor;nom;0;0;0;2;2;
recuo;nom;-;1;3;1;4;
recessão;nom;-;0;1;0;5;
acidentado;adj,nom;-;0;2;0;3;
montanhoso;adj;-;0;2;0;4;
tarata;nom;+;1;0;0;5;
constranger;vrb;-;2;6;2;3;
maniatar;vrb;A;0;2;2;3;
charneira;nom;+;2;0;0;6;
gínglimo;nom;+;1;0;0;6;
mutilar;vrb;+;3;1;0;4;
amputar;vrb;+;3;1;0;4;
neutralidade;nom;A;1;1;0;3;
bombástico;adj;A;1;1;0;3;
castrametar;vrb;+;1;0;0;3;
beneplácito;nom;+;4;0;0;4;
aprazimento;nom;+;3;0;0;3;
demasia;nom;-;0;3;1;4;
amaleitado;adj;-;0;1;0;4;
esmaleitado;adj;-;0;1;0;5;
brejeirice;nom;A;1;1;0;4;
maganice;nom;+;1;0;0;4;
visitar;vrb;+;1;0;0;2;
viajar;vrb;+;1;0;0;3;
emagrecer;vrb;0;0;0;1;2;
formidavelmente;adv;0;0;0;1;1;
corpulência;nom;+;2;0;0;3;
volume;nom;+;7;0;0;3;
necessitar;vrb;0;0;1;2;3;
dissuadir;vrb;+;2;0;1;4;
desencasquetar;vrb;+;1;0;0;5;
idólatra;nom,adj;-;0;1;0;4;
incomodar;vrb;+;5;4;0;3;
maçar;vrb;+;9;2;0;3;
cevar;vrb;+;1;0;0;2;
anafar;vrb;+;1;0;0;3;
apto;adj;+;6;0;0;2;
capaz;adj;+;5;0;0;2;
palerma;nom,adj;-;2;6;0;4;
zambana;nom;-;0;2;0;4;
archote;nom;+;3;0;0;4;
facho;nom;+;4;0;0;4;
diáfano;adj;+;6;0;0;4;
vaporoso;adj;+;4;1;0;3;
barba;nom;+;1;0;0;5;
barbela;nom;+;2;0;0;5;
madraceador;nom;-;0;2;0;4;
trincafiar;vrb;+;2;0;0;4;
surpreender;vrb;+;2;0;0;3;
loro;nom;+;1;0;0;6;
lúria;nom;+;1;0;0;7;
descolorir;vrb;-;0;1;0;4;
despintar;vrb;A;0;1;1;3;
indispor;vrb;+;3;1;0;4;
desarmonizar;vrb;A;1;1;0;3;
arreigado;adj;+;2;0;0;4;
resignado;adj;A;2;2;0;4;
paciente;adj,nom;-;0;3;0;3;
apertada;nom;-;0;2;0;3;
amarrotar;vrb;-;0;3;0;2;
fuxicar;vrb;0;1;2;3;3;
sereno;adj,nom;+;3;0;0;2;
plácido;adj;+;2;0;0;3;
vencido;adj;-;0;1;0;2;
credenciar;vrb;+;2;0;0;3;
rogar;vrb;0;1;0;6;3;
deprecar;vrb;0;0;0;3;4;
ressequir;vrb;+;1;0;0;4;
descarnar;vrb;A;1;0;1;3;
desenvolver;vrb;+;4;0;0;2;
medrar;vrb;+;4;0;0;3;
osga;nom;-;0;2;0;4;
percepção;nom;+;5;0;0;3;
concepção;nom;+;3;0;2;2;
argumentar;vrb;+;4;0;1;4;
atalhar;vrb;+;3;2;2;3;
veneração;nom;+;8;0;0;4;
devoção;nom;+;7;0;0;4;
aviventar;vrb;+;2;0;0;3;
acautelar;vrb;+;6;0;0;3;
integrar;vrb;+;3;0;0;3;
tratado;adj,nom;+;3;0;0;3;
sincero;adj;+;8;0;0;2;
desenganado;adj;+;2;0;0;3;
remanescer;vrb;0;0;0;1;4;
antagonismo;nom;-;1;3;0;4;
combate;nom;+;4;3;0;4;
desunido;adj;+;3;1;0;4;
desligado;adj;+;3;0;0;4;
degradação;nom;-;1;2;0;3;
desautoração;nom;-;0;1;0;4;
banazola;nom;-;0;1;0;3;
banabóia;nom;-;0;2;0;4;
guita;nom;+;1;0;0;4;
baraço;nom;+;3;0;0;5;
ociosidade;nom;+;6;0;0;4;
boémia;nom;+;3;0;0;4;
alastrar;vrb;+;5;0;3;3;
descompaginar;vrb;+;2;0;0;4;
transitar;vrb;+;2;0;0;3;
regalar-se;vrb;-;0;1;0;3;
comparação;nom;A;1;1;0;4;
escurecimento;nom;-;0;1;0;3;
enegrecimento;nom;-;0;1;0;2;
pachorra;nom;+;3;1;0;4;
fleuma;nom;-;0;2;0;3;
espelhento;adj;+;3;0;0;4;
inculpado;adj;+;1;0;0;4;
desenriçar;vrb;+;2;0;0;4;
desencarapinhar;vrb;A;1;1;0;5;
desmiudar;vrb;+;1;0;0;5;
fósforos;nom;+;1;0;0;4;
fartar-se;vrb;+;2;0;0;3;
ateigar;vrb;+;1;0;0;4;
manutenir;vrb;+;2;0;0;4;
provocar;vrb;0;1;0;2;2;
imperecível;adj;+;2;0;0;4;
aproveitamento;nom;+;2;0;0;4;
borbulhar;vrb;+;3;0;1;4;
ferver;vrb;+;2;0;0;3;
guerrento;adj;-;0;1;0;3;
crer;vrb;+;4;0;0;3;
acreditar;vrb;+;6;0;1;3;
desatracar;vrb;+;2;0;0;4;
descingir;vrb;+;1;0;0;3;
descercar;vrb;+;1;0;0;4;
prender-se;vrb;+;5;0;0;3;
chumbar;vrb;+;3;0;0;4;
incensar;vrb;+;1;0;0;4;
recomendado;adj,nom;+;1;0;0;4;
revelar-se;vrb;+;2;0;0;3;
manifestar;vrb;A;5;0;5;3;
rutilante;adj;+;2;0;0;4;
descendência;nom;0;0;0;2;3;
sóbole;nom;0;0;0;1;4;
timidez;nom;-;0;7;0;4;
bisonhice;nom;-;0;4;0;4;
vidrento;adj;-;0;3;0;3;
indisposição;nom;-;0;4;0;4;
supremacia;nom;+;3;0;0;3;
servente;nom;+;4;0;0;4;
serviçal;nom,adj;+;4;0;0;3;
móveis;nom;+;2;0;0;4;
imbambas;nom;+;1;0;0;3;
birbante;nom;-;0;2;0;3;
gritaria;nom;-;0;3;0;2;
gritadeira;nom;-;0;2;0;3;
rapazito;nom;-;0;1;0;4;
moçoilo;nom;-;0;1;0;5;
abandono;nom;-;2;3;1;4;
usurário;nom;A;1;1;0;6;
logreiro;nom;+;1;0;0;7;
pedinchice;nom;-;0;1;0;3;
choradinho;nom;-;0;1;0;4;
constar;vrb;+;1;0;0;3;
rotejar-se;vrb;+;2;0;0;4;
desperdiçar;vrb;0;0;1;2;3;
estrafegar;vrb;-;0;2;0;2;
diapositivo;nom;-;0;1;0;4;
negativo;nom,adj;-;0;1;0;3;
remonte;nom;+;2;0;0;4;
literal;adj;+;2;0;0;3;
belo;adj,nom;+;10;0;0;2;
assunto;nom;A;1;1;0;3;
atormentado;adj;-;0;1;0;4;
triturado;adj;-;0;3;0;4;
pisco;nom,adj;-;0;1;0;5;
triunfar;vrb;+;2;1;1;3;
atrapalhar-se;vrb;A;0;1;1;3;
atataranhar-se;vrb;-;0;2;0;3;
insubordinar;vrb;0;0;0;1;4;
tosco;adj;-;1;12;1;3;
prolongamento;nom;0;1;0;5;3;
prolongação;nom;0;0;0;2;3;
receoso;adj;-;1;2;0;3;
prazo;nom;+;2;0;0;3;
timing;nom;+;3;0;0;4;
fibra;nom;+;2;1;0;3;
febra;nom;+;3;1;0;3;
sazonar;vrb;A;1;1;1;3;
amadurar;vrb;+;1;0;0;4;
alimentar-se;vrb;0;0;0;1;2;
revolução;nom;-;1;3;0;3;
perturbação;nom;-;0;11;0;3;
preservar;vrb;+;10;0;0;4;
livrar;vrb;A;2;0;2;3;
mitrado;adj;+;2;0;0;4;
atar;vrb;A;5;1;5;3;
indeferir;vrb;-;0;1;0;4;
desatender;vrb;-;0;1;0;3;
mercenário;adj,nom;-;0;1;0;6;
deslisura;nom;-;0;2;0;3;
varado;adj;-;0;2;0;4;
tonel;nom;+;1;0;0;6;
cuba;nom;+;1;0;0;5;
comentário;nom;+;4;0;0;4;
escólio;nom;+;2;0;0;5;
perturbador;nom,adj;+;2;1;0;5;
desassossegador;nom;+;1;0;0;6;
mundano;adj;-;1;3;0;5;
terrenho;adj;-;0;1;0;6;
cruelmente;adv;0;0;0;1;9;
desapiedadamente;adv;0;0;0;1;10;
retardação;nom;-;0;1;0;4;
retardamento;nom;-;0;3;0;5;
curso;nom;0;0;0;3;2;
picuinhas;nom;+;1;0;0;6;
malvadez;nom;-;0;1;0;1;
testemunhado;adj;+;1;0;0;4;
atestado;adj,nom;+;2;0;0;3;
restringir;vrb;+;4;2;1;3;
limitar;vrb;+;5;2;3;3;
veemente;adj;-;2;7;0;3;
intenso;adj,adv;+;4;1;0;3;
ignificação;nom;-;0;2;0;4;
passar;vrb;+;8;1;3;3;
comunicar;vrb;+;1;0;0;2;
camponês;adj,nom;-;0;3;0;4;
desastre;nom;-;0;3;0;3;
encontrão;nom;A;1;1;0;2;
rebelar;vrb;0;0;0;1;4;
amásio;nom;+;1;0;0;5;
barregão;nom;+;1;0;0;6;
mãozada;nom;+;2;0;0;4;
levantar;vrb;+;11;0;0;2;
gorar-se;vrb;+;1;0;0;4;
malograr;vrb;+;5;0;0;4;
embeberar;vrb;+;4;0;0;4;
carga;nom;+;2;1;0;3;
ónus;nom;+;5;0;0;4;
fender;vrb;+;4;1;0;3;
conciso;adj;+;3;0;0;3;
inciso;adj;+;2;0;0;4;
rebramar;vrb;A;0;1;1;4;
grandiosidade;nom;-;0;2;0;2;
solucionar-se;vrb;0;0;0;1;4;
pensão;nom;+;2;0;1;4;
hospedaria;nom;+;6;0;0;4;
debiqueiro;adj,nom;-;0;1;0;3;
pastinheiro;adj;-;0;1;0;4;
extenuação;nom;+;3;1;0;4;
enervação;nom;A;1;1;0;4;
chamboíce;nom;-;0;2;0;4;
esquinado;adj;-;0;1;0;4;
anguloso;adj;-;0;1;0;5;
turgescer;vrb;+;1;0;0;3;
canoro;adj;+;2;0;0;3;
boato;nom;-;0;2;0;1;
flibusteiro;nom;-;0;1;0;4;
acrisolar-se;vrb;+;1;0;0;4;
aquilatar;vrb;+;3;0;0;3;
desobstruir;vrb;+;4;0;1;4;
desempecilhar;vrb;+;2;0;1;4;
orientador;nom;+;1;0;0;3;
líder;nom;+;6;0;0;4;
janela;nom;A;1;1;0;5;
comovente;adj;A;2;2;0;4;
chocante;adj;-;0;1;0;4;
adivinhar;vrb;+;2;0;0;2;
farejar;vrb;+;3;0;0;3;
fanfarronice;nom;+;2;1;0;4;
flostria;nom;+;2;1;0;4;
situação;nom;+;9;1;1;3;
passo;nom,adj;0;0;0;2;2;
galanteio;nom;+;4;0;0;4;
corte;nom;+;7;1;0;4;
dessorar;vrb;+;3;1;0;4;
descrasear;vrb;+;1;0;0;5;
decorrer;vrb;0;0;0;2;2;
perpassar;vrb;A;1;0;1;3;
manchar;vrb;-;1;3;0;3;
regozijo;nom;+;6;1;0;3;
pasto;nom;+;2;0;1;3;
arranque;nom;-;0;1;0;5;
divulsão;nom;-;0;1;0;6;
chagar;vrb;+;3;0;0;3;
derrubar;vrb;-;0;5;0;2;
encalacrar;vrb;A;1;0;1;3;
tascar;vrb;+;1;0;0;4;
alvéolo;nom;+;1;0;0;5;
divórcio;nom;A;1;1;0;4;
satisfazer-se;vrb;+;4;0;0;4;
festivo;adj;+;4;0;0;4;
ferial;adj;+;1;0;0;5;
instigador;nom;+;3;0;0;3;
açulador;nom;+;2;0;0;4;
sub-repção;nom;-;0;1;0;2;
atestar;vrb;+;3;0;0;3;
juventude;nom;A;2;2;0;4;
bajudeza;nom;+;1;0;0;5;
decisivo;adj;+;5;0;0;4;
reestruturação;nom;-;0;3;0;4;
emporcalhado;adj;-;0;2;0;5;
cacoso;adj;-;1;2;0;4;
arrotear;vrb;0;0;0;1;3;
desmaninhar;vrb;0;0;0;1;4;
ingerir-se;vrb;A;1;0;1;4;
madrugada;nom;-;0;1;0;2;
antemanhã;nom;-;0;1;0;3;
imortalidade;nom;+;1;0;0;5;
posteridade;nom;+;1;0;0;4;
equilibrista;nom;+;1;0;0;6;
malabarista;nom,adj;+;1;0;0;5;
cerca;nom,adv;+;3;0;0;4;
curioso;adj,nom;+;2;1;0;4;
indiscreto;adj;A;1;1;0;3;
comprido;adj;+;2;0;0;3;
celebridade;nom;-;1;2;0;3;
vedeta;nom;A;1;1;0;3;
jocoso;adj;+;3;0;0;3;
chistoso;adj;+;1;0;0;3;
transpiração;nom;A;1;1;0;5;
suadela;nom;-;0;1;0;4;
desencorajar;vrb;-;0;2;0;2;
gratidão;nom;+;3;0;0;4;
dívida;nom;+;1;0;0;3;
maleabilidade;nom;+;2;0;0;4;
plasticidade;nom;+;1;0;0;5;
orientação;nom;+;2;0;0;2;
conhecedor;nom,adj;+;2;0;0;3;
conceptual;adj;+;2;0;0;5;
categorial;adj;+;1;0;0;4;
separado;adj;+;2;0;0;3;
bacia;nom;+;1;0;0;5;
pélvis;nom;+;1;0;0;6;
versejar;vrb;+;1;0;0;4;
metrificar;vrb;+;1;0;0;5;
vultuosidade;nom;+;2;0;0;3;
essência;nom;+;4;0;0;3;
substrato;nom,adj;+;3;1;0;4;
furacão;nom;-;0;1;0;4;
tufão;nom;-;0;2;0;4;
divertimento;nom;+;3;1;0;2;
folguedo;nom;+;4;0;0;3;
protesto;nom;-;0;2;0;3;
regougo;nom;-;0;1;0;4;
torrente;nom;-;0;1;0;3;
lava;nom;A;1;1;0;4;
criar;vrb;0;0;0;2;1;
ditadura;nom;-;0;1;0;4;
absolutismo;nom;-;0;1;0;3;
interregno;nom;+;1;0;0;4;
interlúdio;nom;A;1;0;1;5;
paliar;vrb;+;5;2;0;4;
elegíaco;adj;-;0;1;0;3;
desacostumar;vrb;0;0;0;1;4;
desafazer;vrb;0;0;0;1;5;
caducidade;nom;+;1;0;0;3;
caduquice;nom;A;1;0;1;4;
fogueira;nom;+;2;1;0;4;
encaravelhar;vrb;-;0;1;0;4;
ininterruptamente;adv;+;1;0;0;4;
renunciar;vrb;+;2;0;1;4;
rés;adj,adv;+;1;0;0;4;
saudações;nom;A;1;1;0;4;
acomodar-se;vrb;0;0;0;3;3;
aconchegar;vrb;0;0;0;2;2;
exultação;nom;-;0;1;0;2;
propalar-se;vrb;+;1;0;0;4;
crestar;vrb;+;5;0;0;3;
escarçar;vrb;+;1;0;0;4;
adequação;nom;+;3;0;0;3;
multiplicar;vrb;+;3;0;0;3;
desplante;nom;+;4;1;0;4;
desenvoltura;nom;+;7;0;0;4;
refrigerante;nom,adj;+;1;0;0;5;
refresco;nom;+;2;0;0;4;
restante;nom,adj;-;0;3;1;3;
mais;nom,adv;-;0;1;0;3;
refrear;vrb;-;2;3;1;2;
recalcar;vrb;-;0;2;1;3;
traduzir;vrb;0;1;0;4;2;
escorjar;vrb;-;0;2;0;3;
impregnado;adj;+;2;0;0;4;
incapaz;adj;-;0;2;0;3;
insuficiente;adj,adv;-;0;2;0;2;
paz;nom;+;4;0;0;3;
advir;vrb;+;3;0;1;3;
goelar;vrb;+;1;0;0;5;
escorar;vrb;+;3;0;1;4;
entorpecer;vrb;-;0;4;0;3;
enferrujar;vrb;-;0;2;0;4;
coordenação;nom;+;2;0;0;2;
penar;vrb,nom;-;1;3;0;3;
rebo;nom;-;0;1;0;5;
rípio;nom;-;0;2;0;5;
panascal;nom;-;0;1;0;6;
pragal;nom;-;0;1;0;7;
simplificar;vrb;0;0;0;1;4;
empanturrar;vrb;+;3;1;0;4;
empandeirar;vrb;A;1;0;1;4;
aliciamento;nom;A;1;1;0;4;
engajamento;nom;+;1;0;0;4;
menstruação;nom;-;0;2;0;3;
evasivas;nom;+;1;0;0;7;
meias-palavras;nom;+;1;0;0;8;
habituar;vrb;0;1;0;2;4;
estorvo;nom;-;0;10;0;3;
desesperador;adj,nom;-;0;1;0;6;
desesperante;adj;-;0;1;0;7;
silvestre;adj;-;0;2;0;3;
calcada;nom;-;0;1;0;5;
violência;nom;-;0;1;0;1;
emparelhar;vrb;A;2;1;2;4;
jungir;vrb;0;0;2;3;3;
desonestar;vrb;-;0;3;0;3;
afusão;nom;0;0;0;1;3;
negrura;nom;-;0;3;0;1;
aborrecido;adj;-;0;6;0;3;
tedioso;adj;-;0;3;0;4;
fumegar;vrb;+;2;0;0;3;
fumarar;vrb;+;1;0;0;4;
dinamizar;vrb;A;1;0;1;4;
catalisar;vrb;A;1;0;1;3;
aninhar;vrb;+;2;0;1;3;
alternar;vrb;0;0;0;2;3;
alavancar;vrb;A;1;0;1;3;
melhoria;nom;0;0;0;3;2;
teto;nom;0;0;0;1;4;
tétum;nom;0;0;0;1;5;
tourear;vrb;0;1;0;2;3;
proporcionado;adj;+;2;0;0;2;
cismado;adj;A;1;1;0;5;
invocado;adj;-;0;1;0;5;
descoberta;nom;+;4;0;1;3;
desmascaramento;nom;+;2;0;0;4;
quantia;nom;+;4;0;0;3;
sofrimento;nom;-;0;3;0;3;
geena;nom;-;0;3;0;4;
trapalhice;nom;-;1;4;0;3;
remate;nom;+;4;0;0;3;
acabamento;nom;+;2;0;1;3;
descompor;vrb;A;0;1;1;2;
serrano;nom,adj;-;0;1;0;4;
montanhão;nom;-;0;2;0;4;
opulento;adj;+;3;0;0;3;
pecunioso;adj;+;2;0;0;3;
anunciar;vrb;+;5;0;3;3;
prometer;vrb;+;4;0;2;3;
empestar;vrb;+;2;1;0;4;
tresandar;vrb;-;0;2;0;3;
patológico;adj;-;0;2;0;2;
mórbido;adj;-;0;2;0;2;
derradeiro;adj;+;2;1;0;4;
chefiar;vrb;0;0;0;3;3;
prefácio;nom;+;2;0;0;4;
exórdio;nom;+;2;0;0;4;
inseguro;adj;-;0;1;0;4;
descortinar;vrb;+;6;0;0;3;
esquadrão;nom;+;2;0;0;4;
música;nom;A;1;1;1;2;
raivoso;adj;-;0;2;0;3;
pico;nom;+;3;1;0;3;
convelir;vrb;A;1;1;0;3;
desapor;vrb;0;0;0;1;3;
tabuada;nom;+;3;0;0;4;
efeminado;adj,nom;-;0;2;0;3;
inviril;adj;-;0;1;0;4;
desmantelar-se;vrb;-;0;1;0;4;
esboroar;vrb;-;0;2;0;3;
proibido;adj;A;1;1;0;4;
remansado;adj;+;2;0;0;3;
mudez;nom;+;1;0;0;4;
mutismo;nom;+;2;0;0;4;
rijar;vrb;A;1;1;0;3;
rojar;vrb;-;0;2;1;2;
envasilhar;vrb;+;2;0;0;5;
envasar;vrb;+;1;0;0;6;
esmorecido;adj;-;0;1;0;4;
desmaiado;adj;-;0;4;0;3;
descarregar;vrb;0;0;1;2;3;
aligeirar;vrb;0;1;1;2;4;
envelhecimento;nom;-;0;1;0;4;
inveteração;nom;-;0;1;0;5;
instintivo;adj;+;1;0;0;4;
reflexo;adj,nom;+;3;1;1;3;
beato;nom,adj;+;1;0;0;5;
santanário;nom;A;1;1;0;6;
fragor;nom;-;0;1;0;1;
renitente;adj;-;0;2;0;4;
afiar;vrb;+;2;1;1;3;
puxar;vrb;A;2;1;2;2;
penhora;nom;+;2;0;0;5;
esforçar-se;vrb;A;2;0;2;3;
afadigar;vrb;+;1;0;0;4;
abochornado;adj;-;0;1;0;4;
galheta;nom;-;0;1;0;4;
pincha;nom;-;1;2;0;4;
inscrever;vrb;0;0;0;4;3;
exarar;vrb;A;1;0;1;3;
peleja;nom;-;1;4;0;4;
dilaceração;nom;-;0;2;0;3;
laceração;nom;-;0;1;0;4;
desistência;nom;A;2;2;0;5;
alpestre;adj;-;0;2;0;4;
montano;adj;-;0;2;0;3;
subordinado;nom,adj;+;4;2;0;4;
policiar;vrb;+;4;0;0;4;
envergonhar;vrb;-;0;3;0;1;
encalistar;vrb;-;0;2;0;2;
algazarra;nom;-;1;7;0;3;
arrogância;nom;+;2;0;0;3;
pesporrência;nom;A;1;1;0;4;
execução;nom;+;6;0;0;4;
efectuação;nom;+;2;0;0;5;
inaceitável;adj;-;0;1;0;4;
corda;nom;+;2;0;0;4;
vilania;nom;-;0;1;0;3;
libertinagem;nom;A;1;1;0;3;
safadice;nom;-;1;2;0;4;
zombaria;nom;+;1;0;0;1;
micterismo;nom;+;1;0;0;2;
plano;adj,nom;+;10;1;0;3;
integral;adj;+;3;0;0;3;
alterado;adj;-;0;4;0;3;
agarrar;vrb;+;5;0;0;2;
catrafilar;vrb;A;1;0;1;3;
ensarilhar;vrb;-;0;3;0;3;
limar;vrb;+;3;0;0;3;
lunático;adj;-;1;2;0;3;
pilhagem;nom;+;4;0;0;5;
cevadura;nom;A;1;1;0;4;
anegrar;vrb;-;0;1;0;4;
empretecer;vrb;-;0;1;0;5;
